Sample Number (10000 samples per second),LoadCell (),X1 (),X2 (),X3 (),EPOSPosition (),EPOSCurrent (),Encoder (),Time (ms)
0,27.35,0.0,0.0,547.02,21761.0,61595.0,0.0,334.0
1,27.27,0.0,2.74,490.71,19284.0,61094.0,0.0,385.0
2,27.24,0.01,5.19,438.37,16384.0,59638.0,0.0,435.0
3,27.36,0.04,7.38,391.71,13096.0,64692.0,0.0,486.0
4,26.44,0.08,9.34,326.66,9991.0,65085.0,0.0,536.0
5,27.13,0.12,10.97,298.42,7353.0,65185.0,0.0,586.0
6,26.66,0.18,12.46,248.35,5116.0,399.0,0.0,636.0
7,26.74,0.24,13.71,212.54,3294.0,523.0,0.0,688.0
8,26.9,0.31,14.77,180.8,1886.0,858.0,0.0,738.0
9,26.72,0.38,15.67,144.36,893.0,1088.0,0.0,788.0
10,26.77,0.46,16.39,115.28,318.0,902.0,0.0,838.0
11,26.7,0.54,16.97,86.06,158.0,2554.0,0.0,888.0
12,27.12,0.63,17.4,68.82,410.0,3517.0,0.0,940.0
13,26.73,0.71,17.75,36.76,1092.0,3989.0,0.0,990.0
14,26.77,0.8,17.93,16.09,2193.0,4171.0,0.0,1040.0
15,26.78,0.89,18.01,-3.35,3707.0,4077.0,0.0,1090.0
16,27.03,0.98,17.99,-15.92,5555.0,63900.0,0.0,1141.0
17,27.49,1.07,17.91,-23.13,7180.0,64301.0,0.0,1191.0
18,27.21,1.16,17.8,-44.33,8616.0,64038.0,0.0,1242.0
19,27.24,1.25,17.58,-57.09,9917.0,63463.0,0.0,1292.0
20,27.3,1.34,17.29,-67.7,11090.0,63846.0,0.0,1343.0
21,27.16,1.43,16.95,-81.0,12174.0,64146.0,0.0,1393.0
22,27.18,1.51,16.55,-89.48,13174.0,64754.0,0.0,1443.0
23,27.17,1.59,16.1,-97.43,14309.0,64100.0,0.0,1494.0
24,27.11,1.67,15.61,-104.83,15201.0,63342.0,0.0,1545.0
25,27.06,1.75,15.09,-111.02,16063.0,63522.0,0.0,1595.0
26,27.05,1.83,14.53,-115.18,16888.0,63303.0,0.0,1645.0
27,27.1,1.9,13.96,-117.22,17690.0,63687.0,0.0,1695.0
28,27.07,1.97,13.37,-120.06,18455.0,63332.0,0.0,1746.0
29,27.06,2.04,12.77,-121.54,19199.0,62880.0,0.0,1797.0
30,27.0,2.1,12.16,-123.47,19912.0,63097.0,0.0,1847.0
31,27.12,2.16,11.55,-120.79,20589.0,63001.0,0.0,1897.0
32,27.0,2.22,10.94,-122.8,21240.0,63584.0,0.0,1947.0
33,26.97,2.27,10.33,-121.96,21852.0,63587.0,0.0,1998.0
34,27.09,2.33,9.72,-117.62,22436.0,63074.0,0.0,2049.0
35,27.04,2.37,9.13,-116.7,22985.0,63710.0,0.0,2099.0
36,27.12,2.42,8.55,-112.59,23505.0,63686.0,0.0,2149.0
37,26.95,2.46,7.98,-113.25,23988.0,63198.0,0.0,2200.0
38,27.08,2.5,7.42,-107.19,24444.0,64073.0,0.0,2250.0
39,26.91,2.54,6.88,-107.37,24864.0,63228.0,0.0,2300.0
40,26.96,2.57,6.34,-102.52,25262.0,63409.0,0.0,2351.0
41,26.86,2.61,5.83,-100.59,25621.0,63954.0,0.0,2401.0
42,26.89,2.64,5.33,-95.78,25959.0,63148.0,0.0,2452.0
43,26.89,2.66,4.85,-91.49,26269.0,63562.0,0.0,2502.0
44,26.92,2.69,4.39,-86.74,26546.0,63603.0,0.0,2552.0
45,26.92,2.71,3.96,-82.33,26804.0,63059.0,0.0,2603.0
46,26.79,2.73,3.55,-80.69,27029.0,64087.0,0.0,2654.0
47,26.82,2.75,3.14,-75.62,27239.0,63164.0,0.0,2704.0
48,26.81,2.76,2.77,-71.31,27456.0,62590.0,0.0,2754.0
49,26.91,2.77,2.41,-65.04,27619.0,62853.0,0.0,2804.0
50,26.8,2.79,2.08,-63.13,27755.0,62962.0,0.0,2855.0
51,26.91,2.8,1.77,-56.7,27882.0,62937.0,0.0,2906.0
52,26.8,2.81,1.48,-54.91,27981.0,63511.0,0.0,2956.0
53,26.95,2.81,1.21,-48.0,28074.0,63140.0,0.0,3006.0
54,26.76,2.82,0.97,-48.12,28142.0,63279.0,0.0,3056.0
55,27.06,2.82,0.73,-38.39,28207.0,64557.0,0.0,3107.0
56,26.91,2.83,0.54,-38.18,28254.0,63594.0,0.0,3158.0
57,26.99,2.83,0.35,-33.41,28288.0,65008.0,0.0,3208.0
58,26.9,2.83,0.18,-32.13,28311.0,35.0,0.0,3258.0
59,26.85,2.83,0.02,-30.11,28322.0,341.0,0.0,3308.0
60,26.87,2.83,-0.13,-26.75,28330.0,444.0,0.0,3359.0
61,26.88,2.83,-0.27,-23.61,28333.0,359.0,0.0,3409.0
62,26.93,2.83,-0.38,-20.08,28329.0,65085.0,0.0,3460.0
63,26.94,2.83,-0.48,-17.42,28317.0,65299.0,0.0,3510.0
64,27.02,2.83,-0.57,-13.6,28292.0,342.0,0.0,3561.0
65,26.95,2.82,-0.64,-13.1,28266.0,141.0,0.0,3611.0
66,26.96,2.82,-0.7,-10.96,28235.0,884.0,0.0,3661.0
67,26.88,2.82,-0.76,-10.86,28206.0,65253.0,0.0,3712.0
68,26.92,2.81,-0.81,-8.2,28171.0,209.0,0.0,3762.0
69,26.87,2.81,-0.81,-8.2,28131.0,696.0,46416.0,3813.0
70,27.22,2.81,-0.81,-8.2,28008.0,61490.0,46416.0,3864.0
71,27.58,2.81,-0.81,-8.2,27426.0,61827.0,46416.0,3914.0
72,27.14,2.81,-0.81,-8.2,26175.0,61674.0,46416.0,3964.0
73,27.1,2.81,-0.81,-8.2,24681.0,60704.0,46416.0,4015.0
74,27.02,2.81,-0.81,-8.2,22773.0,61443.0,46416.0,4066.0
75,27.09,2.81,-0.81,-8.2,20443.0,61147.0,46416.0,4116.0
76,27.28,2.81,-0.81,-8.2,17701.0,60831.0,46416.0,4166.0
77,27.22,2.81,-0.81,-8.2,14537.0,60299.0,46416.0,4216.0
78,26.88,2.81,-0.81,-8.2,11253.0,976.0,46416.0,4267.0
79,26.49,2.81,-0.81,-8.2,8423.0,65072.0,46416.0,4318.0
80,26.85,2.81,-0.81,-8.2,6011.0,365.0,46416.0,4368.0
81,26.9,2.81,-0.81,-8.2,4002.0,461.0,46416.0,4418.0
82,26.79,2.81,-0.81,-8.2,2410.0,1007.0,46416.0,4468.0
83,26.6,2.81,-0.81,-8.2,1229.0,1423.0,46416.0,4519.0
84,26.74,2.81,-0.81,-8.2,466.0,1060.0,46416.0,4570.0
85,26.71,2.81,-0.81,-8.2,116.0,1632.0,46416.0,4620.0
86,26.75,2.81,-0.81,-8.2,109.0,1017.0,46416.0,4670.0
87,26.86,2.81,-0.81,-8.2,107.0,122.0,46416.0,4720.0
88,27.08,2.81,-0.81,-8.2,101.0,239.0,46416.0,4771.0
89,27.04,2.81,-0.81,-8.2,100.0,65180.0,46416.0,4822.0
90,26.99,2.81,-0.81,-8.2,99.0,65104.0,46416.0,4872.0
91,26.98,2.81,-0.81,-8.2,98.0,65110.0,46416.0,4922.0
92,26.95,2.81,-0.81,-8.2,98.0,495.0,46416.0,4972.0
93,27.02,2.81,-0.81,-8.2,97.0,65141.0,46416.0,5023.0
94,27.0,2.81,-0.81,-8.2,97.0,64712.0,46416.0,5073.0
95,26.98,2.81,-0.81,-8.2,97.0,65189.0,46416.0,5124.0
96,26.98,2.81,-0.81,-8.2,97.0,65174.0,46416.0,5175.0
97,26.97,2.81,-0.81,-8.2,99.0,65228.0,46416.0,5225.0
98,27.02,2.81,-0.81,-8.2,99.0,64641.0,46416.0,5275.0
99,27.0,2.81,-0.81,-8.2,99.0,64764.0,46416.0,5325.0
100,26.99,2.81,-0.81,-8.2,99.0,65124.0,46416.0,5376.0
101,26.99,2.81,-0.81,-8.2,97.0,65357.0,46416.0,5427.0
102,26.98,2.81,-0.81,-8.2,97.0,923.0,46416.0,5477.0
103,27.03,2.81,-0.81,-8.2,97.0,401.0,46416.0,5527.0
104,27.01,2.81,-0.81,-8.2,97.0,65357.0,46416.0,5577.0
105,27.01,2.81,-0.81,-8.2,96.0,65204.0,46416.0,5628.0
106,27.01,2.81,-0.81,-8.2,98.0,65062.0,46416.0,5679.0
107,26.97,2.81,-0.81,-8.2,98.0,64983.0,46416.0,5729.0
108,26.99,2.81,-0.81,-8.2,97.0,65280.0,46416.0,5779.0
109,26.96,2.81,-0.81,-8.2,97.0,187.0,46416.0,5829.0
110,26.97,2.81,-0.81,-8.2,98.0,65124.0,46416.0,5880.0
111,26.97,2.81,-0.81,-8.2,96.0,66.0,46416.0,5931.0
112,26.96,2.81,-0.81,-8.2,97.0,65173.0,46416.0,5981.0
113,26.98,2.81,-0.81,-8.2,97.0,65341.0,46416.0,6031.0
114,27.0,2.81,-0.81,-8.2,97.0,65355.0,46416.0,6082.0
115,26.97,2.81,-0.81,-8.2,97.0,65358.0,46416.0,6132.0
116,27.02,2.81,-0.81,-8.2,97.0,65138.0,46416.0,6182.0
117,26.96,2.81,-0.81,-8.2,98.0,65483.0,46416.0,6233.0
118,27.03,2.81,-0.81,-8.2,98.0,65033.0,46416.0,6284.0
119,26.98,2.81,-0.81,-8.2,97.0,65329.0,46416.0,6334.0
120,27.03,2.81,-0.81,-8.2,97.0,64973.0,46416.0,6384.0
121,26.99,2.81,-0.81,-8.2,97.0,65357.0,46416.0,6434.0
122,27.0,2.81,-0.81,-8.2,97.0,65325.0,46416.0,6484.0
123,27.03,2.81,-0.81,-8.2,97.0,65386.0,46416.0,6536.0
124,26.98,2.81,-0.81,-8.2,98.0,65324.0,46416.0,6586.0
125,27.01,2.81,-0.81,-8.2,97.0,65323.0,46416.0,6636.0
126,26.98,2.81,-0.81,-8.2,97.0,65307.0,46416.0,6686.0
127,27.02,2.81,-0.81,-8.2,97.0,65309.0,46416.0,6737.0
128,27.02,2.81,-0.81,-8.2,97.0,65321.0,46416.0,6788.0
129,27.03,2.81,-0.81,-8.2,97.0,65327.0,46416.0,6838.0
130,27.03,2.81,-0.81,-8.2,97.0,941.0,46416.0,6888.0
131,27.05,2.81,-0.81,-8.2,97.0,65386.0,46416.0,6939.0
132,27.06,2.81,-0.81,-8.2,97.0,65445.0,46416.0,6989.0
