Sample Number (10000 samples per second),LoadCell (),X1 (),X2 (),X3 (),EPOSPosition (),EPOSCurrent (),Encoder (),Time (ms)
0,0.0,0.0,0.0,0.0,-3.0,335.0,0.0,362.0
1,0.0,0.0,0.0,0.0,-3.0,65491.0,0.0,412.0
2,0.0,0.0,0.0,0.0,-3.0,1368.0,0.0,462.0
3,0.0,0.0,0.0,0.0,-2.0,64429.0,0.0,513.0
4,0.0,0.0,0.0,0.0,-3.0,65500.0,0.0,564.0
5,0.0,0.0,0.0,0.0,-3.0,65526.0,0.0,614.0
6,0.0,0.0,0.0,0.0,-3.0,65491.0,0.0,664.0
7,0.0,0.0,0.0,0.0,-3.0,65464.0,0.0,714.0
8,0.0,0.0,0.0,0.0,-3.0,326.0,0.0,764.0
9,0.0,0.0,0.0,0.0,-2.0,725.0,0.0,816.0
10,0.0,0.0,0.0,0.0,-3.0,65490.0,0.0,866.0
11,0.0,0.0,0.0,0.0,-3.0,65508.0,0.0,916.0
12,0.0,0.0,0.0,0.0,-3.0,65491.0,0.0,966.0
13,0.0,0.0,0.0,0.0,-3.0,65473.0,0.0,1017.0
14,0.0,0.0,0.0,0.0,-3.0,65482.0,0.0,1068.0
15,0.0,0.0,0.0,0.0,-3.0,65464.0,0.0,1118.0
16,0.0,0.0,0.0,0.0,-3.0,53.0,0.0,1168.0
17,0.0,0.0,0.0,0.0,-3.0,71.0,0.0,1218.0
18,0.0,0.0,0.0,0.0,-3.0,65499.0,0.0,1269.0
19,0.0,0.0,0.0,0.0,-3.0,65482.0,0.0,1319.0
20,0.0,0.0,0.0,0.0,-3.0,65509.0,0.0,1370.0
21,0.0,0.0,0.0,0.0,-3.0,65509.0,0.0,1421.0
22,0.0,0.0,0.0,0.0,-3.0,65508.0,0.0,1471.0
23,0.0,0.0,0.0,0.0,-3.0,9.0,0.0,1521.0
24,0.0,0.0,0.0,0.0,-3.0,65499.0,0.0,1571.0
25,0.0,0.0,0.0,0.0,-3.0,652.0,0.0,1622.0
26,0.0,0.0,0.0,0.0,-3.0,65500.0,0.0,1673.0
27,0.0,0.0,0.0,0.0,-3.0,65500.0,0.0,1723.0
28,0.0,0.0,0.0,0.0,-3.0,65499.0,0.0,1773.0
29,0.0,0.0,0.0,0.0,-3.0,65464.0,0.0,1823.0
30,0.0,0.0,0.0,0.0,-3.0,65473.0,0.0,1874.0
31,0.0,0.0,0.0,0.0,-1.0,65287.0,0.0,1925.0
32,0.0,0.0,0.0,0.0,-2.0,65491.0,0.0,1975.0
33,0.0,0.0,0.0,0.0,-2.0,65527.0,0.0,2025.0
34,0.0,0.0,0.0,0.0,-2.0,65073.0,0.0,2075.0
35,0.0,0.0,0.0,0.0,-3.0,65472.0,0.0,2126.0
36,0.0,0.0,0.0,0.0,-3.0,65482.0,0.0,2177.0
37,0.0,0.0,0.0,0.0,-3.0,65482.0,0.0,2227.0
38,0.0,0.0,0.0,0.0,-3.0,65482.0,0.0,2277.0
39,0.0,0.0,0.0,0.0,-3.0,65473.0,0.0,2328.0
40,0.0,0.0,0.0,0.0,-3.0,64484.0,0.0,2378.0
41,0.0,0.0,0.0,0.0,-3.0,65446.0,0.0,2428.0
42,0.0,0.0,0.0,0.0,-3.0,65473.0,0.0,2479.0
43,0.0,0.0,0.0,0.0,-3.0,27.0,0.0,2529.0
44,0.0,0.0,0.0,0.0,-3.0,65482.0,0.0,2580.0
