Sample Number (10000 samples per second),LoadCell (),X1 (),X2 (),X3 (),EPOSPosition (),EPOSCurrent (),Encoder (),Time (ms)
0,50.0,5.0,-0.0,0.0,49995.0,1146.0,0.0,99929.0
1,50.0,5.0,-0.0,0.0,49997.0,145.0,0.0,99979.0
2,0.0,0.0,0.0,0.0,44377.0,60798.0,0.0,323.0
3,0.0,0.0,0.0,0.0,42341.0,61042.0,0.0,373.0
4,0.0,0.0,0.0,0.0,39003.0,60656.0,0.0,423.0
5,0.0,0.0,0.0,0.0,35772.0,63206.0,0.0,474.0
6,0.0,0.0,0.0,0.0,32420.0,62353.0,0.0,525.0
7,0.0,0.0,0.0,0.0,29097.0,62835.0,0.0,575.0
8,0.0,0.0,0.0,0.0,25768.0,63620.0,0.0,625.0
9,0.0,0.0,0.0,0.0,22431.0,62870.0,0.0,675.0
10,0.0,0.0,0.0,0.0,19098.0,62809.0,0.0,726.0
11,0.0,0.0,0.0,0.0,15757.0,63680.0,0.0,777.0
12,0.0,0.0,0.0,0.0,12430.0,83.0,0.0,827.0
13,0.0,0.0,0.0,0.0,9405.0,65474.0,0.0,877.0
14,0.0,0.0,0.0,0.0,6820.0,222.0,0.0,927.0
15,0.0,0.0,0.0,0.0,4650.0,248.0,0.0,977.0
16,0.0,0.0,0.0,0.0,2890.0,327.0,0.0,1029.0
17,0.0,0.0,0.0,0.0,1547.0,1131.0,0.0,1079.0
18,0.0,0.0,0.0,0.0,619.0,1589.0,0.0,1129.0
19,0.0,0.0,0.0,0.0,106.0,1873.0,0.0,1179.0
20,0.0,0.0,0.0,0.0,-4.0,536.0,0.0,1229.0
21,0.0,0.0,0.0,0.0,8.0,65325.0,0.0,1281.0
22,0.0,0.0,0.0,0.0,5.0,856.0,0.0,1331.0
23,0.0,0.0,0.0,0.0,2.0,297.0,0.0,1381.0
24,0.0,0.0,0.0,0.0,0.0,64891.0,0.0,1431.0
25,0.0,0.0,0.0,0.0,-3.0,65064.0,0.0,1482.0
26,0.0,0.0,0.0,0.0,-4.0,65019.0,0.0,1532.0
27,0.0,0.0,0.0,0.0,-5.0,65364.0,0.0,1583.0
28,0.0,0.0,0.0,0.0,-3.0,98.0,0.0,1633.0
29,0.0,0.0,0.0,0.0,-4.0,65490.0,0.0,1684.0
30,0.0,0.0,0.0,0.0,-4.0,19.0,0.0,1734.0
31,0.0,0.0,0.0,0.0,-4.0,417.0,0.0,1784.0
32,0.0,0.0,0.0,0.0,-2.0,64765.0,0.0,1835.0
33,0.0,0.0,0.0,0.0,-3.0,353.0,0.0,1885.0
34,0.0,0.0,0.0,0.0,-2.0,65173.0,0.0,1936.0
35,0.0,0.0,0.0,0.0,-3.0,27.0,0.0,1986.0
36,0.0,0.0,0.0,0.0,-3.0,65535.0,0.0,2036.0
37,0.0,0.0,0.0,0.0,-3.0,65482.0,0.0,2086.0
38,0.0,0.0,0.0,0.0,-3.0,65526.0,0.0,2138.0
39,0.0,0.0,0.0,0.0,-3.0,65500.0,0.0,2188.0
40,0.0,0.0,0.0,0.0,-3.0,65517.0,0.0,2238.0
41,0.0,0.0,0.0,0.0,-3.0,65526.0,0.0,2288.0
