Sample Number (10000 samples per second),LoadCell (),X1 (),X2 (),X3 (),EPOSPosition (),EPOSCurrent (),Encoder (),Time (ms)
0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,322.0
1,0.0,0.0,0.0,0.0,-1.0,64930.0,0.0,372.0
2,0.0,0.0,0.0,0.0,-1.0,65278.0,0.0,423.0
3,0.0,0.0,0.0,0.0,-2.0,64985.0,0.0,474.0
4,0.0,0.0,0.0,0.0,-3.0,135.0,0.0,524.0
5,0.0,0.0,0.0,0.0,-2.0,64824.0,0.0,574.0
6,0.0,0.0,0.0,0.0,-3.0,65217.0,0.0,624.0
7,0.0,0.0,0.0,0.0,-1.0,64493.0,0.0,675.0
8,0.0,0.0,0.0,0.0,-3.0,65217.0,0.0,726.0
9,0.0,0.0,0.0,0.0,0.0,64663.0,0.0,776.0
10,0.0,0.0,0.0,0.0,-3.0,556.0,0.0,826.0
11,0.0,0.0,0.0,0.0,-2.0,11.0,0.0,876.0
12,0.0,0.0,0.0,0.0,-1.0,64832.0,0.0,927.0
13,0.0,0.0,0.0,0.0,0.0,64217.0,0.0,977.0
14,0.0,0.0,0.0,0.0,-2.0,65234.0,0.0,1028.0
15,0.0,0.0,0.0,0.0,-2.0,65003.0,0.0,1078.0
16,0.0,0.0,0.0,0.0,-2.0,64985.0,0.0,1129.0
17,0.0,0.0,0.0,0.0,-1.0,64333.0,0.0,1179.0
18,0.0,0.0,0.0,0.0,-3.0,538.0,0.0,1229.0
19,0.0,0.0,0.0,0.0,-3.0,65396.0,0.0,1280.0
20,0.0,0.0,0.0,0.0,-2.0,65529.0,0.0,1331.0
21,0.0,0.0,0.0,0.0,-1.0,65422.0,0.0,1381.0
22,0.0,0.0,0.0,0.0,-2.0,65324.0,0.0,1431.0
23,0.0,0.0,0.0,0.0,-2.0,270.0,0.0,1481.0
24,0.0,0.0,0.0,0.0,-2.0,65056.0,0.0,1532.0
25,0.0,0.0,0.0,0.0,-3.0,65047.0,0.0,1583.0
26,0.0,0.0,0.0,0.0,-4.0,64931.0,0.0,1633.0
27,0.0,0.0,0.0,0.0,-1.0,64315.0,0.0,1683.0
28,0.0,0.0,0.0,0.0,-3.0,64886.0,0.0,1734.0
29,0.0,0.0,0.0,0.0,-1.0,65413.0,0.0,1784.0
30,0.0,0.0,0.0,0.0,-3.0,65234.0,0.0,1835.0
31,0.0,0.0,0.0,0.0,-2.0,681.0,0.0,1885.0
32,0.0,0.0,0.0,0.0,-3.0,65261.0,0.0,1935.0
33,0.0,0.0,0.0,0.0,-2.0,466.0,0.0,1986.0
34,0.0,0.0,0.0,0.0,-1.0,65404.0,0.0,2036.0
35,0.0,0.0,0.0,0.0,-3.0,65198.0,0.0,2086.0
36,0.0,0.0,0.0,0.0,-2.0,55.0,0.0,2137.0
37,0.0,0.0,0.0,0.0,-2.0,65261.0,0.0,2188.0
38,0.0,0.0,0.0,0.0,-2.0,65083.0,0.0,2238.0
39,0.0,0.0,0.0,0.0,0.0,64029.0,0.0,2288.0
40,0.0,0.0,0.0,0.0,-1.0,64815.0,0.0,2338.0
41,0.0,0.0,0.0,0.0,-2.0,64886.0,0.0,2388.0
42,0.0,0.0,0.0,0.0,-2.0,65163.0,0.0,2440.0
43,0.0,0.0,0.0,0.0,0.0,64101.0,0.0,2490.0
44,0.0,0.0,0.0,0.0,0.0,64664.0,0.0,2540.0
45,0.0,0.0,0.0,0.0,-1.0,64288.0,0.0,2590.0
46,0.0,0.0,0.0,0.0,-1.0,65252.0,0.0,2641.0
47,0.0,0.0,0.0,0.0,-3.0,65378.0,0.0,2692.0
48,0.0,0.0,0.0,0.0,-3.0,65342.0,0.0,2742.0
49,0.0,0.0,0.0,0.0,-1.0,64565.0,0.0,2792.0
50,0.0,0.0,0.0,0.0,-1.0,64127.0,0.0,2843.0
51,0.0,0.0,0.0,0.0,-3.0,64.0,0.0,2893.0
52,0.0,0.0,0.0,0.0,0.0,65181.0,0.0,2944.0
53,0.0,0.0,0.0,0.0,-3.0,65305.0,0.0,2994.0
54,0.0,0.0,0.0,0.0,-1.0,64985.0,0.0,3045.0
55,0.0,0.0,0.0,0.0,-2.0,64601.0,0.0,3095.0
56,0.0,0.0,0.0,0.0,-2.0,65234.0,0.0,3145.0
57,0.0,0.0,0.0,0.0,-1.0,252.0,0.0,3195.0
58,0.0,0.0,0.0,0.0,-1.0,64939.0,0.0,3246.0
59,0.0,0.0,0.0,0.0,-2.0,64824.0,0.0,3297.0
60,0.0,0.0,0.0,0.0,-2.0,64966.0,0.0,3347.0
61,0.0,0.0,0.0,0.0,-2.0,64957.0,0.0,3397.0
62,0.0,0.0,0.0,0.0,-2.0,64985.0,0.0,3447.0
63,0.0,0.0,0.0,0.0,0.0,65154.0,0.0,3499.0
64,0.0,0.0,0.0,0.0,0.0,64386.0,0.0,3549.0
65,0.0,0.0,0.0,0.0,0.0,64735.0,0.0,3599.0
66,0.0,0.0,0.0,0.0,-2.0,279.0,0.0,3649.0
67,0.0,0.0,0.0,0.0,-2.0,332.0,0.0,3699.0
68,0.0,0.0,0.0,0.0,-1.0,64948.0,0.0,3750.0
69,0.0,0.0,0.0,0.0,-2.0,65100.0,0.0,3801.0
70,0.0,0.0,0.0,0.0,-2.0,65074.0,0.0,3851.0
71,0.0,0.0,0.0,0.0,-2.0,395.0,0.0,3901.0
72,0.0,0.0,0.0,0.0,-1.0,63725.0,0.0,3952.0
73,0.0,0.0,0.0,0.0,0.0,65234.0,0.0,4002.0
74,0.0,0.0,0.0,0.0,-2.0,64913.0,0.0,4052.0
75,0.0,0.0,0.0,0.0,-1.0,64092.0,0.0,4103.0
76,0.0,0.0,0.0,0.0,0.0,65074.0,0.0,4154.0
77,0.0,0.0,0.0,0.0,0.0,64297.0,0.0,4204.0
78,0.0,0.0,0.0,0.0,-1.0,64422.0,0.0,4254.0
79,0.0,0.0,0.0,0.0,-1.0,65466.0,0.0,4304.0
80,0.0,0.0,0.0,0.0,-3.0,65056.0,0.0,4355.0
81,0.0,0.0,0.0,0.0,-1.0,64725.0,0.0,4406.0
82,0.0,0.0,0.0,0.0,-3.0,65270.0,0.0,4456.0
83,0.0,0.0,0.0,0.0,-1.0,63663.0,0.0,4506.0
84,0.0,0.0,0.0,0.0,-4.0,65225.0,0.0,4556.0
85,0.0,0.0,0.0,0.0,-4.0,1073.0,0.0,4608.0
86,0.0,0.0,0.0,0.0,-3.0,65493.0,0.0,4658.0
87,0.0,0.0,0.0,0.0,-1.0,65296.0,0.0,4708.0
88,0.0,0.0,0.0,0.0,-2.0,55.0,0.0,4758.0
89,0.0,0.0,0.0,0.0,-1.0,20.0,0.0,4808.0
90,0.0,0.0,0.0,0.0,-2.0,65422.0,0.0,4859.0
91,0.0,0.0,0.0,0.0,-3.0,377.0,0.0,4910.0
92,0.0,0.0,0.0,0.0,-1.0,65261.0,0.0,4960.0
93,0.0,0.0,0.0,0.0,0.0,64841.0,0.0,5010.0
94,0.0,0.0,0.0,0.0,-1.0,65261.0,0.0,5061.0
95,0.0,0.0,0.0,0.0,-1.0,64485.0,0.0,5111.0
96,0.0,0.0,0.0,0.0,-1.0,457.0,0.0,5161.0
97,0.0,0.0,0.0,0.0,0.0,64850.0,0.0,5212.0
98,0.0,0.0,0.0,0.0,-1.0,64779.0,0.0,5263.0
99,0.0,0.0,0.0,0.0,-2.0,64939.0,0.0,5313.0
100,0.0,0.0,0.0,0.0,-2.0,65351.0,0.0,5363.0
101,0.0,0.0,0.0,0.0,-4.0,867.0,0.0,5413.0
102,0.0,0.0,0.0,0.0,-2.0,65216.0,0.0,5465.0
103,0.0,0.0,0.0,0.0,-2.0,64619.0,0.0,5515.0
104,0.0,0.0,0.0,0.0,-2.0,65305.0,0.0,5565.0
105,0.0,0.0,0.0,0.0,-3.0,439.0,0.0,5615.0
106,0.0,0.0,0.0,0.0,0.0,64065.0,0.0,5665.0
107,0.0,0.0,0.0,0.0,-1.0,65020.0,0.0,5716.0
108,0.0,0.0,0.0,0.0,-3.0,324.0,0.0,5767.0
109,0.0,0.0,0.0,0.0,-2.0,65484.0,0.0,5817.0
110,0.0,0.0,0.0,0.0,-2.0,65396.0,0.0,5867.0
111,0.0,0.0,0.0,0.0,-3.0,332.0,0.0,5918.0
112,0.0,0.0,0.0,0.0,-2.0,279.0,0.0,5968.0
113,0.0,0.0,0.0,0.0,-2.0,64663.0,0.0,6019.0
114,0.0,0.0,0.0,0.0,-1.0,618.0,0.0,6069.0
115,0.0,0.0,0.0,0.0,-1.0,65422.0,0.0,6120.0
116,0.0,0.0,0.0,0.0,0.0,65154.0,0.0,6170.0
117,0.0,0.0,0.0,0.0,-2.0,64886.0,0.0,6220.0
118,0.0,0.0,0.0,0.0,0.0,65216.0,0.0,6270.0
119,0.0,0.0,0.0,0.0,0.0,65217.0,0.0,6321.0
120,0.0,0.0,0.0,0.0,-2.0,65333.0,0.0,6372.0
121,0.0,0.0,0.0,0.0,0.0,65243.0,0.0,6422.0
