Sample Number (10000 samples per second),LoadCell (),X1 (),X2 (),X3 (),EPOSPosition (),EPOSCurrent (),Encoder (),Time (ms)
0,0.0,0.0,0.0,0.0,-3.0,9.0,0.0,325.0
1,0.0,0.0,0.0,0.0,-1.0,63646.0,0.0,376.0
2,0.0,0.0,0.0,0.0,-3.0,65535.0,0.0,427.0
3,0.0,0.0,0.0,0.0,-3.0,9.0,0.0,477.0
4,0.0,0.0,0.0,0.0,-3.0,65526.0,0.0,527.0
5,0.0,0.0,0.0,0.0,-2.0,90.0,0.0,577.0
6,0.0,0.0,0.0,0.0,-3.0,9.0,0.0,627.0
7,0.0,0.0,0.0,0.0,-3.0,65535.0,0.0,678.0
8,0.0,0.0,0.0,0.0,-3.0,65526.0,0.0,729.0
9,0.0,0.0,0.0,0.0,-3.0,18.0,0.0,779.0
10,0.0,0.0,0.0,0.0,-3.0,27.0,0.0,829.0
11,0.0,0.0,0.0,0.0,-3.0,8.0,0.0,880.0
12,0.0,0.0,0.0,0.0,-4.0,391.0,0.0,930.0
13,0.0,0.0,0.0,0.0,-3.0,65526.0,0.0,980.0
14,0.0,0.0,0.0,0.0,-3.0,65526.0,0.0,1032.0
15,0.0,0.0,0.0,0.0,-3.0,17.0,0.0,1082.0
16,0.0,0.0,0.0,0.0,-1.0,64691.0,0.0,1132.0
17,0.0,0.0,0.0,0.0,-3.0,44.0,0.0,1182.0
18,0.0,0.0,0.0,0.0,-2.0,64728.0,0.0,1232.0
19,0.0,0.0,0.0,0.0,-3.0,462.0,0.0,1284.0
20,0.0,0.0,0.0,0.0,-3.0,45.0,0.0,1334.0
21,0.0,0.0,0.0,0.0,-3.0,18.0,0.0,1384.0
22,0.0,0.0,0.0,0.0,-3.0,18.0,0.0,1434.0
23,0.0,0.0,0.0,0.0,-3.0,45.0,0.0,1484.0
24,0.0,0.0,0.0,0.0,-3.0,53.0,0.0,1536.0
25,0.0,0.0,0.0,0.0,-3.0,62.0,0.0,1586.0
26,0.0,0.0,0.0,0.0,-3.0,117.0,0.0,1636.0
27,0.0,0.0,0.0,0.0,-3.0,27.0,0.0,1686.0
28,0.0,0.0,0.0,0.0,-3.0,18.0,0.0,1737.0
29,0.0,0.0,0.0,0.0,-3.0,36.0,0.0,1787.0
30,0.0,0.0,0.0,0.0,-3.0,62.0,0.0,1838.0
